name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
Al Naeem Restaurant & Grills,Bahrain,Muharraq,,26.2552773,50.6319916,,,,0,,openstreetmap
Al Jabriya Turkish Food,Bahrain,Muharraq,Avenue 11,26.2721336,50.6076657,,,,0,,openstreetmap
Nameen Cafeteria,Bahrain,Muharraq,Avenue 11,26.2721437,50.607757,,,,0,,openstreetmap
Al Hota Falafell,Bahrain,Muharraq,,26.2837249,50.6222608,,,,0,,openstreetmap
Alsambar Cafeteria,Bahrain,Muharraq,,26.2837985,50.622205,,,,0,,openstreetmap
Aljood Palace,Bahrain,Muharraq,,26.2811325,50.6366985,,,,0,,openstreetmap
Aliya Sandwich,Bahrain,Muharraq,,26.2804136,50.6363159,,,,0,,openstreetmap
Al Jowder Cafeteria,Bahrain,Muharraq,5215,26.2726476,50.6502157,,,,0,,openstreetmap
Almumayaz,Bahrain,Muharraq,,26.2744209,50.6466606,,,,0,,openstreetmap
Aseel Cafeteria,Bahrain,Muharraq,,26.2729623,50.6481362,,,,0,,openstreetmap
Janahi Grills and Juices,Bahrain,Muharraq,,26.2746024,50.6495158,,,,0,,openstreetmap
Lolly Cafeteria,Bahrain,Muharraq,,26.2739568,50.6523239,,,,0,,openstreetmap
Meras Restaurant,Bahrain,Muharraq,,26.2742061,50.6509385,,,,0,,openstreetmap
Naseem Qalali Falaffel,Bahrain,Muharraq,,26.2742272,50.6507758,,,,0,,openstreetmap
Alshagar Grill,Bahrain,Muharraq,Galali Avenue,26.2702453,50.6521227,,,,0,,openstreetmap
CFC Restaurant,Bahrain,Muharraq,,26.2646702,50.6561363,,,,0,,openstreetmap
Chicki Chicken,Bahrain,Muharraq,,26.2472146,50.6540072,,,,0,,openstreetmap
Diyar Hidd Grills,Bahrain,Muharraq,,26.2447861,50.6555204,,,,0,,openstreetmap
Happy Lettuce Cafeteria,Bahrain,Muharraq,,26.2445415,50.6555176,,,,0,,openstreetmap
Hiba Cafeteria,Bahrain,Muharraq,,26.2501472,50.6539503,,,,0,,openstreetmap
Papa John's,Bahrain,Muharraq,,26.2560556,50.648212,,,,0,,openstreetmap
Pizza Italian Palace,Bahrain,Muharraq,,26.250036,50.6535373,,,,0,,openstreetmap
Prince,Bahrain,Muharraq,,26.2497925,50.6541071,,,,0,,openstreetmap
Al Mudeef Cafeteria,Bahrain,Muharraq,,26.2370667,50.6562474,,,,0,,openstreetmap
Al Mudeef Turkish Grill,Bahrain,Muharraq,,26.2415054,50.6568081,,,,0,,openstreetmap
Heated Land Cafeteria,Bahrain,Muharraq,,26.2388254,50.6522575,,,,0,,openstreetmap
Hidd Gate Cafeteria,Bahrain,Muharraq,,26.2422484,50.653383,,,,0,,openstreetmap
King Karak Cafeteria,Bahrain,Muharraq,,26.2415145,50.6552219,,,,0,,openstreetmap
Karak Chapati,Bahrain,Muharraq,,26.2248702,50.6333102,,,,0,,openstreetmap
Pizza King,Bahrain,Muharraq,,26.2244476,50.6321544,1700555.0,,,0,,openstreetmap
Quik Eats,Bahrain,Muharraq,,26.2247796,50.6331433,,,,0,,openstreetmap
Sit Alsham,Bahrain,Muharraq,Ahmed Bin Majed Avenue,26.2400606,50.655272,,,,0,,openstreetmap
Al Toor Restaurant,Bahrain,Muharraq,,26.2402595,50.6525965,,,,0,,openstreetmap
Malghoom Cafeteria,Bahrain,Muharraq,,26.241881,50.6540094,,,,0,,openstreetmap
Al Ahali Sandwiches,Bahrain,Muharraq,,26.2570211,50.6486465,,,,0,,openstreetmap
Al Qooti Juice and Sandwiches,Bahrain,Muharraq,,26.2546209,50.6491518,,,,0,,openstreetmap
Al Sabah,Bahrain,Muharraq,,26.2570912,50.6486027,,,,0,,openstreetmap
Albadgeer Restaurant,Bahrain,Muharraq,,26.254831,50.645562,,,,0,,openstreetmap
Ammo Wahid Pizza,Bahrain,Muharraq,,26.254766,50.6454286,,,,0,,openstreetmap
Arabian World Kitchen,Bahrain,Muharraq,,26.2588882,50.6453944,,,,0,,openstreetmap
Durrat Arad Cafeteria,Bahrain,Muharraq,,26.2486658,50.6438841,,,,0,,openstreetmap
Hardy's Burgers,Bahrain,Muharraq,,26.2569536,50.648719,,,,0,,openstreetmap
Just Baked Cafe,Bahrain,Muharraq,,26.2551749,50.6454948,,,,0,,openstreetmap
KFC,Bahrain,Muharraq,,26.2572433,50.6484864,,https://www.kfc.bh/,,0,,openstreetmap
The Pizza Company,Bahrain,Muharraq,,26.2587093,50.6454779,,,,0,,openstreetmap
Pizza Hut,Bahrain,Muharraq,,26.2571596,50.6485522,,,,0,,openstreetmap
Waad Cafeteria,Bahrain,Muharraq,,26.2553184,50.6454788,,,,0,,openstreetmap
Al Qanater Cafeteria,Bahrain,Muharraq,,26.2558496,50.6401599,,,,0,,openstreetmap
Wahran Restaurant,Bahrain,Muharraq,,26.2508961,50.6431428,,,,0,,openstreetmap
Sehran Cafeteria,Bahrain,Muharraq,,26.24646,50.6358256,,,,0,,openstreetmap
Subway,Bahrain,Muharraq,,26.2560555,50.6360963,,,,0,,openstreetmap
Tiki Ming,Bahrain,Muharraq,,26.2561744,50.6360963,,,,0,,openstreetmap
Karami Restaurant,Bahrain,Muharraq,,26.2545114,50.6292175,,,,0,,openstreetmap
My Pizza,Bahrain,Muharraq,,26.255155,50.6323831,,,,0,,openstreetmap
Twister Land,Bahrain,Muharraq,,26.255066,50.632162,,,,0,,openstreetmap
Adam Oven and Broasted,Bahrain,Muharraq,,26.2553163,50.6327498,,,,0,,openstreetmap
