name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
Starbucks,Kuwait,Ahmadi,,28.7314357,48.2848155,,,,0,,openstreetmap
26 Cafe,Kuwait,Ahmadi,,28.5524778,48.378535,,,,0,,openstreetmap
Burger King,Kuwait,Ahmadi,,29.1398434,48.1301621,,,,0,,openstreetmap
ستاربكس,Kuwait,Ahmadi,,29.0819731,48.1409465,,,,0,,openstreetmap
ماكدونالدز,Kuwait,Ahmadi,,29.0810167,48.1398307,,,,0,,openstreetmap
Happy Land,Kuwait,Ahmadi,,28.7354388,48.3745077,,,,0,,openstreetmap
كاريبو كوفي,Kuwait,Ahmadi,,29.0801475,48.1418636,,,,0,,openstreetmap
Coffee Republic,Kuwait,Ahmadi,,29.0813585,48.1425731,,,,0,,openstreetmap
دانكن دونتس,Kuwait,Ahmadi,,29.0803466,48.1423343,,,,0,,openstreetmap
Mugg & Bean,Kuwait,Ahmadi,,29.0802,48.1420248,,,,0,,openstreetmap
Naif Chicken,Kuwait,Ahmadi,,29.0931343,48.1302379,,,,0,,openstreetmap
Tche Tche,Kuwait,Ahmadi,,29.0812315,48.1423972,,,,0,,openstreetmap
Failakka,Kuwait,Ahmadi,,29.0942946,48.1330209,,,,0,,openstreetmap
Kaser Al Raiyan Restaurant,Kuwait,Ahmadi,,29.0943722,48.1339433,,,,0,,openstreetmap
Lahore Tower Restaurant,Kuwait,Ahmadi,,29.0945721,48.1340159,,,,0,,openstreetmap
Reef Turky Restaurant,Kuwait,Ahmadi,,29.0941984,48.1307228,,,,0,,openstreetmap
Skyzone,Kuwait,Ahmadi,,29.0945491,48.1325544,,,,0,,openstreetmap
Sripura Restaurant,Kuwait,Ahmadi,,29.0961485,48.1358149,,,,0,,openstreetmap
Tasty Mangaf,Kuwait,Ahmadi,,29.0942522,48.1311124,,,,0,,openstreetmap
Wah Ji Wah Restaurant,Kuwait,Ahmadi,شارع 27,29.0959782,48.1341457,+96523712220,https://www.kuwaitrestaurantmenu.com/2019/08/wah-ji-wah-restaurant-phone-menu.html,,0,,openstreetmap
Asha's,Kuwait,Ahmadi,,29.1541229,48.125207,+96522254097,https://www.ashasrestaurants.com/,,0,,openstreetmap
Chocolate Bar,Kuwait,Ahmadi,,29.1542503,48.1255458,,,,0,,openstreetmap
Mais Alghanim - Mahboula,Kuwait,Ahmadi,,29.154262,48.1253869,+96522250655,https://www.maisalghanim.com/,,0,,openstreetmap
Sabaidee,Kuwait,Ahmadi,26th Street,29.0956259,48.1358732,,,,0,,openstreetmap
Jollibee,Kuwait,Ahmadi,,29.0814921,48.1398598,,,,0,,openstreetmap
Elevation Burger,Kuwait,Ahmadi,,29.1241205,48.1342688,,https://tabcofood.com/elevation-burger/,,0,,openstreetmap
McDonald's,Kuwait,Ahmadi,,29.1344528,48.1324043,,,,0,,openstreetmap
بيتزا هوت,Kuwait,Ahmadi,,29.1447917,48.1156029,,,,0,,openstreetmap
Mughal Mahal,Kuwait,Ahmadi,,29.0808357,48.1379567,,,,0,,openstreetmap
Udupi Restaurant,Kuwait,Ahmadi,,29.0769806,48.1328477,,,,0,,openstreetmap
Al-Safi Restaurant,Kuwait,Ahmadi,,29.0808769,48.1339705,,,,0,,openstreetmap
Pizza Hut,Kuwait,Ahmadi,,29.0827497,48.1397426,,,,0,,openstreetmap
Chennai Rathna Cafe,Kuwait,Ahmadi,,29.0794069,48.1340779,,,,0,,openstreetmap
Tanureen Restaurant,Kuwait,Ahmadi,,29.0829419,48.1390801,,,,0,,openstreetmap
Mea - Mea,Kuwait,Ahmadi,,29.08658,48.1316858,,,,0,,openstreetmap
SUBWAY®,Kuwait,Ahmadi,,29.1346061,48.1322338,,,,0,,openstreetmap
Dawat Restaurant,Kuwait,Ahmadi,,29.1401497,48.1305533,,,,0,,openstreetmap
