name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
Moods Café-Restaurant,Morocco,Casablanca,,33.6065793,-7.6191761,,,4.8,0,,google_places
La Sqala,Morocco,Casablanca,,33.6029941,-7.619021899999999,,,4.2,0,,google_places
Restaurant Dar El Kaid,Morocco,Casablanca,,33.596952099999996,-7.6188345,,,4.3,0,,google_places
Le Cabestan,Morocco,Casablanca,,33.6081836,-7.6554723000000005,,,4.2,0,,google_places
Restaurant Belanfa,Morocco,Casablanca,,33.5933332,-7.6165677,,,4.9,0,,google_places
Bliss Rooftop,Morocco,Casablanca,,33.588011099999996,-7.6275222,,,4.4,0,,google_places
Le Rooftop,Morocco,Casablanca,,33.5969402,-7.614334500000001,,,4.5,0,,google_places
Dar Dada,Morocco,Casablanca,,33.6039639,-7.621391600000001,,,4.1,0,,google_places
Pomo Dolce,Morocco,Casablanca,,33.604036199999996,-7.6453648,,,4.6,0,,google_places
Table III,Morocco,Casablanca,,33.590508799999995,-7.677453,,,4.9,0,,google_places
Olive Tree Café-Restaurant,Morocco,Casablanca,,33.6078366,-7.6210157,,,4.9,0,,google_places
Leopard restaurant Casablanca,Morocco,Casablanca,,33.599798,-7.654962500000001,,,4.5,0,,google_places
Braise,Morocco,Casablanca,,33.587972,-7.627513399999999,,,4.7,0,,google_places
Holy Brunch,Morocco,Casablanca,,33.588461099999996,-7.6316774,,,4.6,0,,google_places
Restaurant Les Fleurs,Morocco,Casablanca,,33.596499900000005,-7.6144843,,,4.0,0,,google_places
Le Cuistot Traditionnel,Morocco,Casablanca,,33.592798,-7.6213752999999995,,,4.4,0,,google_places
Al-Mounia,Morocco,Casablanca,,33.5907191,-7.616375100000001,,,4.1,0,,google_places
Organic Kitchen,Morocco,Casablanca,,33.5907078,-7.638283500000001,,,4.6,0,,google_places
Green Black • Marina,Morocco,Casablanca,,33.6076546,-7.620699500000001,,,4.8,0,,google_places
Clay Oven Casablanca,Morocco,Casablanca,,33.568991,-7.6431637,,,4.6,0,,google_places
