name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
Food Court in Sidra,Qatar,Al Daayen,,25.5530637,51.4484126,,,,0,,openstreetmap
Sidra Food Court,Qatar,Al Daayen,,25.4351905,51.414834,,,,0,,openstreetmap
Mister Biryani Kitchen,Qatar,Al Daayen,Sawda Natheel,25.4085326,51.4521579,,,,0,,openstreetmap
L'ETO CAFFE,Qatar,Al Daayen,,25.3845047,51.4407193,,,,0,,openstreetmap
Social,Qatar,Al Daayen,,25.3844385,51.5252752,,,,0,,openstreetmap
مجلس فرج بن حمد,Qatar,Al Daayen,,25.4290512,51.459331,,,,0,,openstreetmap
Love Cafe,Qatar,Al Daayen,,25.4325309,51.5185195,,,,0,,openstreetmap
صمون SAMOON,Qatar,Al Daayen,,25.3917058,51.5256449,+97431221121,https://instagram.com/samoon.qa?utm_medium=copy_link,,0,,openstreetmap
location coffee,Qatar,Al Daayen,شارع لوسيل,25.4013473,51.5135624,+97470306070,https://www.instagram.com/loc_coffee.qa/,,0,,openstreetmap
Hardee's,Qatar,Al Daayen,,25.4276058,51.5042201,,,,0,,openstreetmap
Shayi Baladna,Qatar,Al Daayen,,25.4275437,51.5042988,,,,0,,openstreetmap
Yasmine Palace DFC,Qatar,Al Daayen,Al Nuaimi Area,25.3843659,51.4405538,+97450099982,https://yasminepalace.com,,0,,openstreetmap
Yasmine Palace Vendome Mall,Qatar,Al Daayen,,25.4046203,51.5201236,+97450085566,https://yasminepalace.com,,0,,openstreetmap
Malibu Inn Cafe,Qatar,Al Daayen,شارع 350,25.405717,51.523547,+97433670143,https://malibuinn.web6sserver.com,,0,,openstreetmap
Tea Time,Qatar,Al Daayen,,25.3818631,51.528781,,,,0,,openstreetmap
Chry Chry,Qatar,Al Daayen,,25.416984,51.5004473,+97440001075,,,0,,openstreetmap
Moka,Qatar,Al Daayen,,25.4004028,51.5258302,,,,0,,openstreetmap
Infinity Restaurant,Qatar,Al Daayen,,25.5846437,51.492152,,,,0,,openstreetmap
مقهى القهوة والوجبات السريعة,Qatar,Al Daayen,,25.4333353,51.5347517,,,,0,,openstreetmap
متجر السندويشات والآيس كريم,Qatar,Al Daayen,,25.4333631,51.5348254,,,,0,,openstreetmap
المطعم الإيطالي,Qatar,Al Daayen,,25.4333998,51.5341478,,,,0,,openstreetmap
مطعم أسيوي,Qatar,Al Daayen,,25.4332408,51.5300236,,,,0,,openstreetmap
مطعم الساحة الدولية للطعام,Qatar,Al Daayen,,25.4306538,51.5317824,,,,0,,openstreetmap
مطعم الأطفال,Qatar,Al Daayen,,25.4299392,51.5310703,,,,0,,openstreetmap
Plan B Cafe,Qatar,Al Daayen,"Floor 20, Marina Twin Towers, Tower A",25.3868114,51.5234865,+97430187770,,,0,,openstreetmap
Doha Sports Park,Qatar,Al Daayen,,25.3878561,51.5068463,,,,0,,openstreetmap
Hardee's,Qatar,Al Khor,,25.6791898,51.4973389,,,,0,,openstreetmap
RLIC Commercial Centre Multi-Restraurent,Qatar,Al Khor,,25.865734,51.545267,,,,0,,openstreetmap
Pizza Hut,Qatar,Al Khor,,25.6861845,51.4950738,,,,0,,openstreetmap
دجاج كنتاكي,Qatar,Al Khor,,25.685667,51.4950243,,,,0,,openstreetmap
la Veranda,Qatar,Al Khor,,25.7137258,51.5327552,,,,0,,openstreetmap
Fontain Bleu,Qatar,Al Khor,,25.7138563,51.5329644,,,,0,,openstreetmap
Baba Ghanouj,Qatar,Al Khor,,25.6744265,51.5001411,,,,0,,openstreetmap
Subway,Qatar,Al Khor,,25.6790332,51.4972742,,,,0,,openstreetmap
Mac Donald`s,Qatar,Al Khor,,25.6789689,51.4975617,,,,0,,openstreetmap
Rotana Restaurant,Qatar,Al Khor,,25.6899924,51.4985978,,https://www.rotanaqatar.com/,,0,,openstreetmap
Sidra Food Court,Qatar,Al Khor,,25.7248062,51.5279389,,,,0,,openstreetmap
Waqta,Qatar,Al Khor,,25.6635263,51.4698094,+97433390200,,,0,,openstreetmap
Dar Al Mandi Restaurant Al Khor,Qatar,Al Khor,شارع ناصر بن عبدالله المسند,25.6838617,51.5104312,74737189,,,0,,openstreetmap
Noora Café,Qatar,Al Khor,,25.684504,51.517316,,,,0,,openstreetmap
Niceday Restaurant,Qatar,Al Khor,,25.6844934,51.4953648,,,,0,,openstreetmap
ماكدونالدز,Qatar,Al Khor,,25.6789927,51.4974172,,,,0,,openstreetmap
Al Shami Home,Qatar,Al Rayyan,Salwa Road,25.2581027,51.4859914,+97444501117,,,0,,openstreetmap
McDonalds hyatt,Qatar,Al Rayyan,hyatt,25.2557792,51.4373122,,,,0,,openstreetmap
McDonald's villagio,Qatar,Al Rayyan,,25.2606176,51.4434932,,,,0,,openstreetmap
