name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
Kudu,Saudi Arabia,Abha,,18.2317463,42.5559599,,,,0,,openstreetmap
herfy 323,Saudi Arabia,Abha,,18.2379435,42.5800578,,,,0,,openstreetmap
عصائر شرق,Saudi Arabia,Abha,,18.2666034,42.4983948,,,,0,,openstreetmap
كانتون,Saudi Arabia,Abha,,18.2381999,42.5804087,+966920000129,https://canton-express.com,,0,,openstreetmap
رهاء,Saudi Arabia,Abha,طريق الملك عبدالعزيز,18.2310656,42.5092645,+966555757398,,,0,,openstreetmap
9BAR | ٩ بـار,Saudi Arabia,Abha,طريق الملك عبدالعزيز,18.2234199,42.5226069,,https://www.instagram.com/9bar_sa?igsh=MWpoYWo2dXk0azc4eQ==,,0,,openstreetmap
Chuckwagon,Saudi Arabia,Al Ahsa,,26.2966703,50.0919503,,,,0,,openstreetmap
Dining Hall,Saudi Arabia,Al Ahsa,,26.3081965,50.1287717,,,,0,,openstreetmap
Latif Pastry,Saudi Arabia,Al Ahsa,,26.2819849,50.2160144,,,,0,,openstreetmap
ZOYA COFFEE,Saudi Arabia,Al Ahsa,Jana Court,26.2859899,50.1126822,,,,0,,openstreetmap
مطعم الممتاز Momtaz Restaurant,Saudi Arabia,Al Ahsa,,26.3462358,50.1363116,,,,0,,openstreetmap
Steakhouse,Saudi Arabia,Al Ahsa,,26.4603168,50.1209655,,,,0,,openstreetmap
Modo Cafe,Saudi Arabia,Al Ahsa,,26.3419716,49.9712741,,,,0,,openstreetmap
Mantorose Cafe,Saudi Arabia,Al Ahsa,طريق الملك عبدالله,26.4624412,50.1143542,+9966559353338,https://mantorose.com.sa/,,0,,openstreetmap
ماكدونالدز,Saudi Arabia,Al Ahsa,طريق الملك عبدالله,26.4621262,50.1137274,8001212345,https://www.mcdonalds.com/,,0,,openstreetmap
Kudu,Saudi Arabia,Al Ahsa,,26.3179561,50.1428632,,,,0,,openstreetmap
مطعم التقوى,Saudi Arabia,Al Ahsa,,25.3959584,49.7292537,,,,0,,openstreetmap
تكية بحر,Saudi Arabia,Al Ahsa,,26.4961718,50.1341793,,,,0,,openstreetmap
بيت الربيان,Saudi Arabia,Al Ahsa,,26.4592864,50.0869988,,,,0,,openstreetmap
جزيرة المرجان,Saudi Arabia,Al Ahsa,,26.483249,50.104926,,,,0,,openstreetmap
Pizza Hut,Saudi Arabia,Al Ahsa,,26.46027,50.092427,,,,0,,openstreetmap
Bably Restaurant,Saudi Arabia,Al Ahsa,,27.0065611,49.6603729,,,,0,,openstreetmap
various,Saudi Arabia,Al Ahsa,,26.2905638,50.1801818,,,,0,,openstreetmap
Hungry Bunny,Saudi Arabia,Al Ahsa,,26.9908692,49.6600279,,,,0,,openstreetmap
Hisham,Saudi Arabia,Al Ahsa,,26.9908792,49.6604217,,,,0,,openstreetmap
كودو,Saudi Arabia,Al Ahsa,,26.9907932,49.6597779,,,,0,,openstreetmap
Rolling Hills Golf Course Clubhouse,Saudi Arabia,Al Ahsa,,26.3022638,50.121013,,,,0,,openstreetmap
Tandori House Restaurant,Saudi Arabia,Al Ahsa,,26.3039085,50.1298857,,,,0,,openstreetmap
Cafe,Saudi Arabia,Al Ahsa,,26.3042259,50.1302076,,,,0,,openstreetmap
Cinnabon/ Seattles Best Coffee,Saudi Arabia,Al Ahsa,,26.3153436,50.1313771,,,,0,,openstreetmap
Joffreys,Saudi Arabia,Al Ahsa,,26.325566,50.1107884,,,,0,,openstreetmap
McDonald's,Saudi Arabia,Al Ahsa,,27.1353921,49.5672553,,,,0,,openstreetmap
سبايسي ميل,Saudi Arabia,Al Ahsa,,26.5629736,50.0829971,+966138237755,https://instagram.com/spicymeal,,0,,openstreetmap
باسكن روبنز,Saudi Arabia,Al Ahsa,,26.5497094,50.015984,,,,0,,openstreetmap
Steak House Restaurant,Saudi Arabia,Al Ahsa,,27.1293977,49.5691662,,,,0,,openstreetmap
KFC,Saudi Arabia,Al Ahsa,,26.8774515,49.7492977,,,,0,,openstreetmap
Crispy Meal,Saudi Arabia,Al Ahsa,jeddah Street (Road 274),27.0131934,49.6545776,,,,0,,openstreetmap
Sado Cafe,Saudi Arabia,Al Ahsa,,26.291454,50.1823605,,,,0,,openstreetmap
برجر فيول,Saudi Arabia,Al Ahsa,,26.454483,50.1202934,,,,0,,openstreetmap
Andoksa,Saudi Arabia,Al Ahsa,,26.2824911,50.2158944,,,,0,,openstreetmap
Jeddah Restaurant,Saudi Arabia,Al Ahsa,Jeddah Street,27.0134141,49.6646979,,,,0,,openstreetmap
Taslis Bukari Restaurant,Saudi Arabia,Al Ahsa,,27.0153949,49.6580797,,,,0,,openstreetmap
City Restaurant,Saudi Arabia,Al Ahsa,,27.0133535,49.6630646,,,,0,,openstreetmap
Hyderabad House Restaurant,Saudi Arabia,Al Ahsa,,27.0121043,49.6580847,,,,0,,openstreetmap
India Gate Restaurant,Saudi Arabia,Al Ahsa,,27.0075236,49.6625614,,,,0,,openstreetmap
Dana ASDF AL Khaleej Bukari Restaurant,Saudi Arabia,Al Ahsa,,27.001192,49.6557176,,,,0,,openstreetmap
Burger King,Saudi Arabia,Al Ahsa,,27.1333877,49.5695601,,,,0,,openstreetmap
There Egypt sugarcane juice,Saudi Arabia,Al Ahsa,,27.0023025,49.6558934,,,,0,,openstreetmap
برقرينو,Saudi Arabia,Al Ahsa,,26.5399628,49.988863,0138634579,,,0,,openstreetmap
مطعم العليين,Saudi Arabia,Al Ahsa,,26.5402286,49.9898762,,,,0,,openstreetmap
Sangamam Restaurant,Saudi Arabia,Al Ahsa,,27.0145969,49.6611204,,,,0,,openstreetmap
Shalimar Bhel Puri & Pani Puri House,Saudi Arabia,Al Ahsa,,27.0124997,49.6625662,,,,0,,openstreetmap
Rose Restaurant,Saudi Arabia,Al Ahsa,,26.4367344,50.1060511,,,,0,,openstreetmap
Horizon Restaurant,Saudi Arabia,Al Ahsa,,26.4389531,50.1054376,,,,0,,openstreetmap
Puttu Kadai,Saudi Arabia,Al Ahsa,,27.0142408,49.6632926,,,,0,,openstreetmap
