name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
La Brioche,UAE,Abu Dhabi,,24.4705197,54.3401287,,,,0,,openstreetmap
تيم هورتونز,UAE,Abu Dhabi,,24.4737089,54.3401389,,,,0,,openstreetmap
Cinnabon,UAE,Abu Dhabi,,24.4739454,54.3405196,,,,0,,openstreetmap
Special,UAE,Abu Dhabi,,24.4719622,54.3398043,,,,0,,openstreetmap
La Terrazza,UAE,Abu Dhabi,Corniche Road West,24.4630532,54.3257203,,,,0,,openstreetmap
Subway,UAE,Abu Dhabi,,24.4696016,54.3426228,,,,0,,openstreetmap
Vasco's,UAE,Abu Dhabi,,24.464416,54.3252941,,,,0,,openstreetmap
Special Restaurant & Cafe,UAE,Abu Dhabi,,24.470173,54.3374057,,,,0,,openstreetmap
IDioms Restaurant,UAE,Abu Dhabi,,24.4710562,54.3401706,,,,0,,openstreetmap
Cafe Du Roi,UAE,Abu Dhabi,,24.4711703,54.3396055,,,,0,,openstreetmap
Brauhaus,UAE,Abu Dhabi,,24.4947347,54.3845185,,,,0,,openstreetmap
Chamas,UAE,Abu Dhabi,,24.4567285,54.328703,,,,0,,openstreetmap
The Yacht Club,UAE,Abu Dhabi,,24.4566624,54.3287633,,,,0,,openstreetmap
The Belgian Beer Cafe,UAE,Abu Dhabi,,24.456887,54.3286924,,,,0,,openstreetmap
Bocca,UAE,Abu Dhabi,Corniche Road West,24.4633046,54.3260083,,,,0,,openstreetmap
Hemingways,UAE,Abu Dhabi,Corniche Road West,24.462524,54.3255185,,,,0,,openstreetmap
The Jazz Club,UAE,Abu Dhabi,Corniche Road West,24.4625314,54.3254483,,,,0,,openstreetmap
Royal Orchid,UAE,Abu Dhabi,Corniche Road West,24.4629701,54.3256185,,,,0,,openstreetmap
IL Forno,UAE,Abu Dhabi,2nd Street,24.4567823,54.3822694,,,,0,,openstreetmap
دجاج كنتاكي,UAE,Abu Dhabi,,24.4733705,54.3681979,,,,0,,openstreetmap
Foodlands RESTAURANT,UAE,Abu Dhabi,,24.4790819,54.3629149,,,,0,,openstreetmap
Le Beaujolais,UAE,Abu Dhabi,Hamdan Bin Mohammed Street,24.4885209,54.3621383,,,,0,,openstreetmap
Esquires,UAE,Abu Dhabi,,24.4635499,54.3875645,,,,0,,openstreetmap
Frankie's,UAE,Abu Dhabi,,24.4151094,54.4900739,+97126543238,,,0,,openstreetmap
Marco Pierre White Steakhouse & Grill,UAE,Abu Dhabi,,24.4147447,54.4905466,,https://www.fairmont.com/babalbahr/GuestServices/Restaurants/MarcoPierreWhiteSteakhouseandGrill.htm,,0,,openstreetmap
Texas Chicken,UAE,Abu Dhabi,,24.4720677,54.3683553,,,,0,,openstreetmap
Certo,UAE,Abu Dhabi,,24.4092342,54.4906932,,,,0,,openstreetmap
Ushna,UAE,Abu Dhabi,,24.4088353,54.4908087,,,,0,,openstreetmap
Fishmarket,UAE,Abu Dhabi,,24.4554703,54.3271026,,,,0,,openstreetmap
McDonald's,UAE,Abu Dhabi,,24.4738348,54.3477818,,,,0,,openstreetmap
Burger King,UAE,Abu Dhabi,,24.4716213,54.344987,,,,0,,openstreetmap
مطعم زهرة لبنان,UAE,Abu Dhabi,,24.4756132,54.3774909,,,,0,,openstreetmap
Pearls Bar,UAE,Abu Dhabi,,24.4066186,54.490096,,,,0,,openstreetmap
The Meat Co.,UAE,Abu Dhabi,,24.4090332,54.4906656,+97125581713,,,0,,openstreetmap
Sho Cho,UAE,Abu Dhabi,,24.4090926,54.4906676,+97125581117,,,0,,openstreetmap
Starbucks,UAE,Abu Dhabi,,24.4898717,54.3628881,,,,0,,openstreetmap
Al Rousha,UAE,Abu Dhabi,,24.4908389,54.3611943,,,,0,,openstreetmap
Cafe Arabia,UAE,Abu Dhabi,Mohammed Bin Khalifa Street (15th Street),24.4558765,54.3793157,+97126439699,https://www.facebook.com/CafeArabia,,0,,openstreetmap
Il Porto Italian Restaurant & Sushi Bar,UAE,Abu Dhabi,,24.473801,54.3162985,+97326359957,,,0,,openstreetmap
Al Fawar,UAE,Abu Dhabi,,24.4336768,54.4378142,,,,0,,openstreetmap
Ponderosa Steakhouse,UAE,Abu Dhabi,,24.4849965,54.3625668,,,,0,,openstreetmap
Tasty Zone CAFETERIA,UAE,Abu Dhabi,,24.4586902,54.3762226,,,,0,,openstreetmap
Spaccanapoli,UAE,Abu Dhabi,,24.4909957,54.3656632,,,,0,,openstreetmap
Trader Vic's,UAE,Abu Dhabi,,24.4945046,54.3839147,,https://tradervics.com/locations/abu-dhabi/,,0,,openstreetmap
Hakkasan,UAE,Abu Dhabi,,24.4622055,54.3183969,,,,0,,openstreetmap
Pizza Hut,UAE,Abu Dhabi,,24.4590562,54.3805211,,,,0,,openstreetmap
Le Boulanger,UAE,Abu Dhabi,,24.4386638,54.412588,,,,0,,openstreetmap
Sofra bld,UAE,Abu Dhabi,,24.4066611,54.4904158,+97125098888,,,0,,openstreetmap
Bord Eau,UAE,Abu Dhabi,,24.4064507,54.4905754,+97125098888,http://www.shangri-la.com/en/property/abudhabi/shangrila/dining/restaurant/bordeau,,0,,openstreetmap
Il Bocaccio,UAE,Abu Dhabi,,24.4568138,54.3287017,,,,0,,openstreetmap
