source,osm_type,osm_id,restaurant_id,name,brand,operator,country,city,district,address,postcode,latitude,longitude,phone,website,email,opening_hours,cuisine_type,services,price_range,rating,review_count,facebook,instagram,twitter,payment,internet_access,smoking,reservation,photos,google_maps_url,created_at,raw_tags
OpenStreetMap,node,1353912131,osm_node_1353912131,مقهى القصر,,,Morocco,Safi,,,,32.3077411,-9.228264,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097740,"{'amenity': 'cafe', 'name': 'مقهى القصر', 'name:ar': 'مقهى القصر'}"
OpenStreetMap,node,1353912144,osm_node_1353912144,,,,Morocco,Safi,,,,32.307986,-9.2275613,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097788,{'amenity': 'cafe'}
OpenStreetMap,node,1354003933,osm_node_1354003933,,,,Morocco,Safi,,,,32.3085391,-9.2309891,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097808,{'amenity': 'cafe'}
OpenStreetMap,node,1356479064,osm_node_1356479064,,,,Morocco,Safi,,,,32.3091557,-9.2326199,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097824,{'amenity': 'cafe'}
OpenStreetMap,node,1357929942,osm_node_1357929942,California,,,Morocco,Safi,,,,32.2858408,-9.2287755,,,,,[],[],,,,,,,,yes,,,,,2026-07-14T18:29:13.097854,"{'amenity': 'cafe', 'internet_access': 'yes', 'name': 'California'}"
OpenStreetMap,node,1357930053,osm_node_1357930053,,,,Morocco,Safi,,,,32.2864914,-9.229534,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097875,{'amenity': 'cafe'}
OpenStreetMap,node,1357930104,osm_node_1357930104,,,,Morocco,Safi,,,,32.286836,-9.229298,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097897,{'amenity': 'cafe'}
OpenStreetMap,node,1365462216,osm_node_1365462216,,,,Morocco,Safi,,,,32.3072459,-9.235035,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097914,{'amenity': 'cafe'}
OpenStreetMap,node,1365462220,osm_node_1365462220,,,,Morocco,Safi,,,,32.3085832,-9.2333395,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097935,{'amenity': 'cafe'}
OpenStreetMap,node,1365462230,osm_node_1365462230,,,,Morocco,Safi,,,,32.3073049,-9.235094,,,,,[],[],,,,,,,,,,,,,2026-07-14T18:29:13.097962,{'amenity': 'cafe'}
