source,osm_type,osm_id,restaurant_id,name,brand,operator,country,city,district,address,postcode,latitude,longitude,phone,website,email,opening_hours,cuisine_type,services,price_range,rating,review_count,facebook,instagram,twitter,payment,internet_access,smoking,reservation,photos,google_maps_url,created_at,raw_tags
OpenStreetMap,node,638362764,osm_node_638362764,برغر كنغ,,,kuwait,Salmiya,,,,29.3337723,48.0584666,,,,,['burger'],[],,,,,,,,,,,,,2026-07-17T01:40:47.936855,"{'amenity': 'fast_food', 'cuisine': 'burger', 'name': 'برغر كنغ', 'name:ar': 'برغر كنغ', 'name:en': 'Burger King', 'official_name': 'برجر كنج'}"
OpenStreetMap,node,1784806992,osm_node_1784806992,Burger King,Burger King,,kuwait,Salmiya,,,,29.3410454,48.0450609,,,,,['burger'],['Takeaway'],,,,,,,,,,,,,2026-07-17T01:40:47.936919,"{'amenity': 'fast_food', 'brand': 'Burger King', 'brand:wikidata': 'Q177054', 'brand:wikipedia': 'en:Burger King', 'cuisine': 'burger', 'name': 'Burger King', 'name:en': 'Burger King', 'takeaway': 'yes'}"
OpenStreetMap,node,1784934290,osm_node_1784934290,Phuket Thai Restaurant,,,kuwait,Salmiya,,,,29.3372848,48.0598457,,,,,['thai'],[],,,,,,,,,,,,,2026-07-17T01:40:47.936987,"{'amenity': 'restaurant', 'cuisine': 'thai', 'name': 'Phuket Thai Restaurant', 'name:en': 'Phuket Thai Restaurant'}"
OpenStreetMap,node,1784944934,osm_node_1784944934,Chicken Tikka,,,kuwait,Salmiya,,,,29.3425967,48.0738882,,,,,[],[],,,,,,,,,,,,,2026-07-17T01:40:47.937023,"{'amenity': 'restaurant', 'name': 'Chicken Tikka', 'name:en': 'Chicken Tikka', 'source': 'KG Ground Survey 2016'}"
OpenStreetMap,node,1784944937,osm_node_1784944937,كولومبوس كافيه,,,kuwait,Salmiya,,,,29.3415309,48.0745442,,,,,['coffee_shop'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937056,"{'amenity': 'cafe', 'cuisine': 'coffee_shop', 'name': 'كولومبوس كافيه', 'name:ar': 'كولومبوس كافيه', 'name:en': 'Columbus Cafe'}"
OpenStreetMap,node,1784944943,osm_node_1784944943,برغر كنغ (Burger King),,,kuwait,Salmiya,,,,29.3418926,48.075582,,,,,['burger'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937085,"{'amenity': 'restaurant', 'cuisine': 'burger', 'name': 'برغر كنغ (Burger King)', 'name:ar': 'برغر كنغ (Burger King)', 'name:en': 'Burger King', 'official_name': 'برجر كنج'}"
OpenStreetMap,node,1784960689,osm_node_1784960689,ماكدونالدز,ماكدونالدز,,kuwait,Salmiya,,Salem Al-Mubarak Street,,29.3410305,48.0726828,,,,,['burger'],"['Takeaway', 'Wheelchair Accessible']",,,,,,,,,,,,,2026-07-17T01:40:47.937116,"{'addr:city': 'Salmiya', 'addr:street': 'Salem Al-Mubarak Street', 'amenity': 'fast_food', 'brand': 'ماكدونالدز', 'brand:ar': 'ماكدونالدز', 'brand:en': ""McDonald's"", 'brand:wikidata': 'Q38076', 'brand:wikipedia': 'ar:ماكدونالدز', 'cuisine': 'burger', 'name': 'ماكدونالدز', 'name:ar': 'ماكدونالدز', 'name:en': ""McDonald's"", 'takeaway': 'yes', 'wheelchair': 'yes'}"
OpenStreetMap,node,1786206962,osm_node_1786206962,,,,kuwait,Salmiya,,,,29.3378214,48.0645812,,,,,['kebab'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937136,"{'amenity': 'restaurant', 'cuisine': 'kebab'}"
OpenStreetMap,node,1787702254,osm_node_1787702254,Marina Thai,,,kuwait,Salmiya,,,,29.3375219,48.0474297,,,,,['thai'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937159,"{'amenity': 'restaurant', 'cuisine': 'thai', 'name': 'Marina Thai', 'name:en': 'Marina Thai'}"
OpenStreetMap,node,1787822857,osm_node_1787822857,Pizza Hut,,,kuwait,Salmiya,,,,29.3298373,48.0809404,,,,,['pizza'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937183,"{'amenity': 'fast_food', 'cuisine': 'pizza', 'name': 'Pizza Hut', 'name:en': 'Pizza Hut'}"
OpenStreetMap,node,1787914614,osm_node_1787914614,بطريق,,,kuwait,Salmiya,,شارع عبد الكريم الخطابي,,29.32555,48.071018,,,,,['burger'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937216,"{'addr:street': 'شارع عبد الكريم الخطابي', 'amenity': 'fast_food', 'cuisine': 'burger', 'name': 'بطريق', 'name:ar': 'بطريق', 'name:en': 'Batriq'}"
OpenStreetMap,node,1788236358,osm_node_1788236358,ستاربكس,,,kuwait,Salmiya,,,,29.3417717,48.0736662,,,,,['coffee_shop'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937242,"{'amenity': 'cafe', 'cuisine': 'coffee_shop', 'name': 'ستاربكس', 'name:ar': 'ستاربكس', 'name:en': 'Starbucks'}"
OpenStreetMap,node,1788339020,osm_node_1788339020,كباب شاوارما,,,kuwait,Salmiya,,,,29.325917,48.06453,,,,,['kebab'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937268,"{'amenity': 'restaurant', 'cuisine': 'kebab', 'name': 'كباب شاوارما', 'name:ar': 'كباب شاوارما', 'name:en': 'Kebab Shawarma'}"
OpenStreetMap,node,1788358810,osm_node_1788358810,دانكن دونتس,دانكن,,kuwait,Salmiya,,,,29.3256374,48.0580236,,,,,"['donut', 'coffee_shop']",['Takeaway'],,,,,,,,,,,,,2026-07-17T01:40:47.937319,"{'amenity': 'fast_food', 'brand': 'دانكن', 'brand:ar': 'دانكن', 'brand:en': ""Dunkin'"", 'brand:wikidata': 'Q847743', 'cuisine': 'donut;coffee_shop', 'name': 'دانكن دونتس', 'name:ar': 'دانكن دونتس', 'name:en': ""Dunkin' Donuts"", 'takeaway': 'yes'}"
OpenStreetMap,node,1788358811,osm_node_1788358811,Papa John's,,,kuwait,Salmiya,,,,29.3193982,48.0585922,,,,,['pizza'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937349,"{'amenity': 'fast_food', 'cuisine': 'pizza', 'diet:vegetarian': 'yes', 'name': ""Papa John's"", 'name:en': ""Papa John's"", 'source': 'KG Ground Survey 2016'}"
OpenStreetMap,node,1788358814,osm_node_1788358814,كستنة,,,kuwait,Salmiya,,,,29.3276111,48.0678834,,,,,['sandwich'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937371,"{'amenity': 'fast_food', 'cuisine': 'sandwich', 'name': 'كستنة', 'name:ar': 'كستنة', 'name:en': 'Kastana'}"
OpenStreetMap,node,1788358817,osm_node_1788358817,Domino's,Domino's,,kuwait,Salmiya,,,,29.3249546,48.0581309,,,,,['pizza'],['Takeaway'],,,,,,,,,,,,,2026-07-17T01:40:47.937397,"{'amenity': 'fast_food', 'brand': ""Domino's"", 'brand:wikidata': 'Q839466', 'cuisine': 'pizza', 'name': ""Domino's"", 'name:ar': 'دومينوز بيتزا', 'name:en': ""Domino's Pizza"", 'source': 'KG Ground Survey 2016', 'takeaway': 'yes'}"
OpenStreetMap,node,1788359063,osm_node_1788359063,Dragon Express,,,kuwait,Salmiya,,,,29.3313151,48.0700292,,,,,['asian'],[],,,,,,,,,,,,,2026-07-17T01:40:47.937426,"{'amenity': 'fast_food', 'cuisine': 'asian', 'name': 'Dragon Express', 'name:en': 'Dragon Express'}"
