source,osm_type,osm_id,restaurant_id,name,brand,operator,country,city,district,address,postcode,latitude,longitude,phone,website,email,opening_hours,cuisine_type,services,price_range,rating,review_count,facebook,instagram,twitter,payment,internet_access,smoking,reservation,photos,google_maps_url,created_at,raw_tags
OpenStreetMap,node,1217878086,osm_node_1217878086,,,,qatar,Doha,,,,25.3263613,51.5175068,,,,,[],[],,,,,,,,,,,,,2026-07-17T01:28:05.638515,{'amenity': 'fast_food'}
OpenStreetMap,node,1217943692,osm_node_1217943692,Tandoor Express,,,qatar,Doha,,,,25.3189875,51.5004735,,,,,['indian'],[],,,,,,,,,,,,,2026-07-17T01:28:05.638680,"{'amenity': 'restaurant', 'cuisine': 'indian', 'name': 'Tandoor Express', 'name:en': 'Tandoor Express'}"
OpenStreetMap,node,1232752287,osm_node_1232752287,La Gourmandise,,,qatar,Doha,,,,25.3255924,51.5151347,,,,,[],[],,,,,,,,,,,,,2026-07-17T01:28:05.639120,"{'amenity': 'restaurant', 'name': 'La Gourmandise', 'name:en': 'La Gourmandise'}"
OpenStreetMap,node,1233965475,osm_node_1233965475,,,,qatar,Doha,,,,25.2564591,51.5407325,,,,,[],[],,,,,,,,,,,,,2026-07-17T01:28:05.639191,{'amenity': 'restaurant'}
OpenStreetMap,node,1233982383,osm_node_1233982383,Royal Palace of Bukhari Restaurant,,,qatar,Doha,,,,25.2657137,51.5376257,,,,,['indian'],[],,,,,,,,,,,,,2026-07-17T01:28:05.639295,"{'amenity': 'restaurant', 'cuisine': 'indian', 'name': 'Royal Palace of Bukhari Restaurant', 'name:en': 'Royal Palace of Bukhari Restaurant'}"
OpenStreetMap,node,1352881131,osm_node_1352881131,Royal Istanbul,,,qatar,Doha,,,,25.3263265,51.5176471,,,,,['turkish'],[],,,,,,,,,,,,,2026-07-17T01:28:05.639366,"{'amenity': 'restaurant', 'cuisine': 'turkish', 'name': 'Royal Istanbul', 'name:en': 'Royal Istanbul'}"
OpenStreetMap,node,1352895700,osm_node_1352895700,Chilli's,,,qatar,Doha,,,,25.2534938,51.5367552,,,,,['steak_house'],[],,,,,,,,,,,,,2026-07-17T01:28:05.639427,"{'amenity': 'restaurant', 'cuisine': 'steak_house', 'name': ""Chilli's"", 'name:en': ""Chilli's""}"
OpenStreetMap,node,1445483523,osm_node_1445483523,Ponderosa Steakhouse,Ponderosa Steakhouse,,qatar,Doha,,,,25.2706172,51.5107534,,,,,"['american', 'steak', 'buffet']",[],,,,,,,,,,,,,2026-07-17T01:28:05.639502,"{'amenity': 'restaurant', 'brand': 'Ponderosa Steakhouse', 'brand:en': 'Ponderosa Steakhouse', 'brand:wikidata': 'Q64038204', 'brand:zh': '龐德羅莎', 'cuisine': 'american;steak;buffet', 'name': 'Ponderosa Steakhouse', 'name:en': 'Ponderosa Steakhouse', 'name:zh': '龐德羅莎'}"
OpenStreetMap,node,1470735103,osm_node_1470735103,Pizza Hut,Pizza Hut,Pizza Hut,qatar,Doha,,,,25.2634108,51.5555119,,,,,['pizza'],[],,,,,,,,,,,,,2026-07-17T01:28:05.639583,"{'amenity': 'restaurant', 'brand': 'Pizza Hut', 'brand:wikidata': 'Q191615', 'cuisine': 'pizza', 'name': 'Pizza Hut', 'name:en': 'Pizza Hut', 'operator': 'Pizza Hut'}"
OpenStreetMap,node,1484932361,osm_node_1484932361,Harput Restaurant,,,qatar,Doha,,,,25.2765534,51.5086657,,,,,['turkish'],[],,,,,,,,,,,,,2026-07-17T01:28:05.639647,"{'amenity': 'restaurant', 'cuisine': 'turkish', 'name': 'Harput Restaurant', 'name:en': 'Harput Restaurant'}"
