source,osm_type,osm_id,restaurant_id,name,brand,operator,country,city,district,address,postcode,latitude,longitude,phone,website,email,opening_hours,cuisine_type,services,price_range,rating,review_count,facebook,instagram,twitter,payment,internet_access,smoking,reservation,photos,google_maps_url,created_at,raw_tags
OpenStreetMap,node,448833068,osm_node_448833068,Kudu,,,saudi_arabia,Riyadh,,,,24.6904926,46.7232179,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.192497,"{'amenity': 'restaurant', 'name': 'Kudu'}"
OpenStreetMap,node,586570960,osm_node_586570960,Firdays,,,saudi_arabia,Riyadh,,,,24.7675896,46.7597589,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.192620,"{'amenity': 'restaurant', 'name': 'Firdays'}"
OpenStreetMap,node,586570972,osm_node_586570972,KFC/Hardys,,,saudi_arabia,Riyadh,,,,24.7672194,46.7590293,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.192683,"{'amenity': 'fast_food', 'name': 'KFC/Hardys'}"
OpenStreetMap,node,665105754,osm_node_665105754,Roma Cafe,,,saudi_arabia,Riyadh,,,,24.7016088,46.6915377,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.192746,"{'amenity': 'cafe', 'name': 'Roma Cafe'}"
OpenStreetMap,node,665107535,osm_node_665107535,KFC,KFC,,saudi_arabia,Riyadh,,,,24.7118004,46.6969673,,,,,['chicken'],['Takeaway'],,,,,,,,,,,,,2026-07-17T19:23:23.192834,"{'alt_name': 'Kentucky Fried Chicken', 'amenity': 'fast_food', 'brand': 'KFC', 'brand:wikidata': 'Q524757', 'brand:wikipedia': 'en:KFC', 'cuisine': 'chicken', 'name': 'KFC', 'takeaway': 'yes'}"
OpenStreetMap,node,671928155,osm_node_671928155,,,,saudi_arabia,Riyadh,,,,24.7372141,46.7828676,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.192877,{'amenity': 'cafe'}
OpenStreetMap,node,671928160,osm_node_671928160,,,,saudi_arabia,Riyadh,,,,24.7370192,46.7829964,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.192917,{'amenity': 'fast_food'}
OpenStreetMap,node,672161159,osm_node_672161159,Shiraz Restaurant (Iranian),,,saudi_arabia,Riyadh,,,,24.7014755,46.6916745,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.192974,"{'amenity': 'restaurant', 'name': 'Shiraz Restaurant (Iranian)'}"
OpenStreetMap,node,672161166,osm_node_672161166,,,,saudi_arabia,Riyadh,,,,24.6996722,46.6924899,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193016,{'amenity': 'restaurant'}
OpenStreetMap,node,672161169,osm_node_672161169,,,,saudi_arabia,Riyadh,,,,24.699565,46.6922968,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193059,{'amenity': 'fast_food'}
OpenStreetMap,node,672612728,osm_node_672612728,,,,saudi_arabia,Riyadh,,,,24.702651,46.697639,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193124,{'amenity': 'cafe'}
OpenStreetMap,node,672665470,osm_node_672665470,Hardees,,,saudi_arabia,Riyadh,,,,24.7117224,46.6970049,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193178,"{'amenity': 'fast_food', 'name': 'Hardees'}"
OpenStreetMap,node,672665471,osm_node_672665471,Al Mansaf,,,saudi_arabia,Riyadh,,,,24.711061,46.6977886,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193246,"{'amenity': 'restaurant', 'name': 'Al Mansaf'}"
OpenStreetMap,node,672668413,osm_node_672668413,Shawerma House,,,saudi_arabia,Riyadh,,,,24.7085594,46.6874735,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193319,"{'amenity': 'restaurant', 'name': 'Shawerma House'}"
OpenStreetMap,node,672668414,osm_node_672668414,ماكدونالدز,ماكدونالدز,,saudi_arabia,Riyadh,,,,24.7132672,46.6735034,,,,,['burger'],['Takeaway'],,,,,,,,,,,,,2026-07-17T19:23:23.193440,"{'amenity': 'fast_food', 'brand': 'ماكدونالدز', 'brand:ar': 'ماكدونالدز', 'brand:en': ""McDonald's"", 'brand:wikidata': 'Q38076', 'brand:wikipedia': 'ar:ماكدونالدز', 'cuisine': 'burger', 'name': 'ماكدونالدز', 'name:ar': 'ماكدونالدز', 'name:en': ""McDonald's"", 'takeaway': 'yes'}"
OpenStreetMap,node,672668416,osm_node_672668416,Coffee hill cafe,,,saudi_arabia,Riyadh,,Sheikh Abdullah Al Angari Street,,24.7246035,46.6818599,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193517,"{'addr:street': 'Sheikh Abdullah Al Angari Street', 'amenity': 'cafe', 'name': 'Coffee hill cafe'}"
OpenStreetMap,node,672714898,osm_node_672714898,,,,saudi_arabia,Riyadh,,,,24.6900265,46.6863838,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:23:23.193562,{'amenity': 'fast_food'}
OpenStreetMap,node,672714900,osm_node_672714900,Kudu,,,saudi_arabia,Riyadh,,,,24.6898413,46.6864482,,,,,['regional'],[],,,,,,,,,,,,,2026-07-17T19:23:23.193621,"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Kudu'}"
OpenStreetMap,node,672714902,osm_node_672714902,Urth Caffe,,,saudi_arabia,Riyadh,,,,24.6896464,46.6863087,+966920007498,https://www.urthcaffe.sa/welcome/index,,"Fr 13:00-24:00; Mo-Th,Sa-Su 08:00-24:00",[],[],,,,,,,,,,,,,2026-07-17T19:23:23.194034,"{'amenity': 'cafe', 'instagram': 'https://www.instagram.com/urthcaffesaudi', 'name': 'Urth Caffe', 'name:ar': 'إيرث كافيه', 'opening_hours': 'Fr 13:00-24:00; Mo-Th,Sa-Su 08:00-24:00', 'phone': '+966 9200 07498', 'website': 'https://www.urthcaffe.sa/welcome/index'}"
