source,osm_type,osm_id,restaurant_id,name,brand,operator,country,city,district,address,postcode,latitude,longitude,phone,website,email,opening_hours,cuisine_type,services,price_range,rating,review_count,facebook,instagram,twitter,payment,internet_access,smoking,reservation,photos,google_maps_url,created_at,raw_tags
OpenStreetMap,node,574351639,osm_node_574351639,Afghan Kabab House,,,uae,Dubai,,,,25.2711221,55.3043239,,,,,['afghan'],[],,,,,,,,,,,,,2026-07-17T19:36:02.502268,"{'amenity': 'restaurant', 'cuisine': 'afghan', 'name': 'Afghan Kabab House', 'name:en': 'Afghan Kebab House'}"
OpenStreetMap,node,574351643,osm_node_574351643,Bayt Al Baghdadi,,,uae,Dubai,,,,25.2740932,55.3214883,,,,,['iraqi'],[],,,,,,,,,,,,,2026-07-17T19:36:02.502345,"{'amenity': 'restaurant', 'cuisine': 'iraqi', 'name': 'Bayt Al Baghdadi', 'name:en': 'Bayt Al Baghdadi'}"
OpenStreetMap,node,622542589,osm_node_622542589,Jebel Ali Club,,,uae,Dubai,,,,25.0347754,55.1182132,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:36:02.502371,"{'amenity': 'bar', 'name': 'Jebel Ali Club', 'name:en': 'Jebel Ali Club'}"
OpenStreetMap,node,641812240,osm_node_641812240,Pizza Hut,,,uae,Dubai,,,,25.2279968,55.3834655,,,,,['pizza'],[],,,,,,,,,,,,,2026-07-17T19:36:02.502393,"{'amenity': 'restaurant', 'cuisine': 'pizza', 'indoor_seating': 'yes', 'name': 'Pizza Hut', 'name:en': 'Pizza Hut', 'outdoor_seating': 'no'}"
OpenStreetMap,node,713283420,osm_node_713283420,Cafe Bateel,,,uae,Dubai,,,,25.0843496,55.1481164,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:36:02.502411,"{'amenity': 'cafe', 'name': 'Cafe Bateel', 'name:en': 'Cafe Bateel'}"
OpenStreetMap,node,715433702,osm_node_715433702,Cityport Cafe,,,uae,Dubai,,,,25.084448,55.144784,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:36:02.502427,"{'amenity': 'cafe', 'name': 'Cityport Cafe', 'name:en': 'Cityport Cafe'}"
OpenStreetMap,node,838296574,osm_node_838296574,McDonald's,ماكدونالدز,EMIRATES FAST FOOD CO.,uae,Dubai,,,,24.9409505,55.0418996,,,,24/7,['burger'],['Takeaway'],,,,https://www.facebook.com/McDonaldsUAE,,,,,,,,,2026-07-17T19:36:02.502485,"{'amenity': 'fast_food', 'brand': 'ماكدونالدز', 'brand:ar': 'ماكدونالدز', 'brand:en': ""McDonald's"", 'brand:wikidata': 'Q38076', 'brand:wikipedia': ""en:McDonald's"", 'contact:email': 'crm@mcdonalds-uae.com', 'contact:facebook': 'https://www.facebook.com/McDonaldsUAE', 'contact:phone': '+971 600 588885', 'contact:website': 'https://www.mcdelivery.ae/', 'cuisine': 'burger', 'level': '0', 'name': ""McDonald's"", 'name:ar': 'ماكدونالدز', 'name:en': ""McDonald's"", 'opening_hours': '24/7', 'operator': 'EMIRATES FAST FOOD CO.', 'takeaway': 'yes'}"
OpenStreetMap,node,838297997,osm_node_838297997,Margaux,,,uae,Dubai,,,,25.194741,55.2760063,,,,,['french'],['Wheelchair Accessible'],,,,,,,,,no,,,,2026-07-17T19:36:02.502508,"{'air_conditioning': 'yes', 'amenity': 'restaurant', 'cuisine': 'french', 'diet:halal': 'yes', 'diet:vegan': 'no', 'diet:vegetarian': 'yes', 'indoor_seating': 'yes', 'name': 'Margaux', 'name:en': 'Margaux', 'outdoor_seating': 'no', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'smoking': 'no', 'wheelchair': 'yes'}"
OpenStreetMap,node,838297999,osm_node_838297999,The Meat Co.,,,uae,Dubai,,,,25.1944225,55.2761711,,,,,['steak_house'],['Wheelchair Accessible'],,,,,,,,,no,,,,2026-07-17T19:36:02.502528,"{'air_conditioning': 'yes', 'amenity': 'restaurant', 'cuisine': 'steak_house', 'diet:halal': 'yes', 'diet:vegetarian': 'no', 'indoor_seating': 'yes', 'name': 'The Meat Co.', 'name:en': 'The Meat Co.', 'outdoor_seating': 'no', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'smoking': 'no', 'wheelchair': 'yes'}"
OpenStreetMap,node,914422175,osm_node_914422175,Al Saeei,,,uae,Dubai,,,,24.7947318,56.1228553,,,,,[],[],,,,,,,,,,,,,2026-07-17T19:36:02.502544,"{'amenity': 'cafe', 'name': 'Al Saeei', 'name:en': 'Al Saeei'}"
