name,address,city,latitude,longitude,phone,website,rating,reviews_count,price_range,source
رانديز - Randy's,"2548 Road 4270، A'ali, Bahrain",A'Ali,26.153715599999998,50.508776999999995,,,4.8,0,,google_places
Sangam Restaurant - Bahrain,"Shop 239, Building, 2210 Road 2827, Al Seef 428, Bahrain",A'Ali,26.2326242,50.539994300000004,,,4.8,0,,google_places
CLAW BBQ Bahrain,"44th, Building 4672, Floor Hilton Bahrain, Road 2468، المنامة، Bahrain",A'Ali,26.223662599999997,50.609353,,,4.9,0,,google_places
AL Jalboot Restaurant,"Hwy 71, A'ali, Bahrain",A'Ali,26.159327899999997,50.5194537,,,4.2,0,,google_places
Zonful Restaurant,"Road 3445, Block 734, Building 1643, عالي، Bahrain",A'Ali,26.154567,50.519044400000006,,,4.3,0,,google_places
Danial Restaurant,"Building 2 Road 38 Block 738 A'ali, عالي، Bahrain",A'Ali,26.159373199999997,50.5207189,,,3.7,0,,google_places
Al Naeem Al Aali Restaurant مطعم النعيم العالي,"block 738، shop, 28 Avenue 38, A'ali, Bahrain",A'Ali,26.158970999999998,50.520913099999994,,,4.2,0,,google_places
House of Balaleet,"Building 365 Rd No 71 Block 738، A'ali, Bahrain",A'Ali,26.1562888,50.5127944,,,4.0,0,,google_places
Sliders,"5G8R+PQ3, Zayed Town, Bahrain",A'Ali,26.1667643,50.5419108,,,4.8,0,,google_places
Café Lilou,"Block 428 Al Aali Mall 2210 Road No 2827 Seef District، Seef, Bahrain",A'Ali,26.2331713,50.540926899999995,,,4.4,0,,google_places
Ghancha غنجة,"2827, Seef, Bahrain",A'Ali,26.233926399999998,50.5399743,,,4.2,0,,google_places
Mei Ling,"Al-Qudaibiya Palace, 338 Shaikh Isa Ave, Manama, Bahrain",A'Ali,26.211463400000003,50.593162,,,4.7,0,,google_places
Fabio's Bahrain,"Building 339, Road 1910, Block 718, مدينة زايد، Bahrain",A'Ali,26.165270099999997,50.5415521,,,4.4,0,,google_places
M by Mirai Restaurant,"Boulevard 35 ضاحية السيفSeef، Area, Bahrain",A'Ali,26.2328175,50.5408751,,,4.7,0,,google_places
Bu Ali Spice Restaurant,"Road No: 20, شارع أبو غزال، المنامة، Bahrain",A'Ali,26.2101413,50.5753141,,,3.8,0,,google_places
Empire Pizza,"Building 1573 Road 3236, A'ali 732, Bahrain",A'Ali,26.151873000000002,50.5328568,,,4.6,0,,google_places
BURJ AL NOOR RESTAURANT,"Avenue 8, Hoarat A'ali, Bahrain",A'Ali,26.1761414,50.526578799999996,,,3.8,0,,google_places
Avli by tashas,"Shop 14, Bahrain Harbour, Building 1428 Rd 4626, Manama, Bahrain",A'Ali,26.2393526,50.5737957,,,4.6,0,,google_places
AGORA Restaurant,"AGORA Shop Al Raya Riffa, Block 914, Rd No 1412, الرفاع، Bahrain",A'Ali,26.1341641,50.5487095,,,4.7,0,,google_places
Buri Tunnel Restaurant,"5G35+CRW, Hwy 71, Buri, Bahrain",A'Ali,26.153613099999998,50.509579099999996,,,4.4,0,,google_places
Kudu,,Abha,18.2317463,42.5559599,,,,0,,openstreetmap
herfy 323,,Abha,18.2379435,42.5800578,,,,0,,openstreetmap
عصائر شرق,,Abha,18.2666034,42.4983948,,,,0,,openstreetmap
كانتون,,Abha,18.2381999,42.5804087,+966920000129,https://canton-express.com,,0,,openstreetmap
رهاء,طريق الملك عبدالعزيز,Abha,18.2310656,42.5092645,+966555757398,,,0,,openstreetmap
9BAR | ٩ بـار,طريق الملك عبدالعزيز,Abha,18.2234199,42.5226069,,https://www.instagram.com/9bar_sa?igsh=MWpoYWo2dXk0azc4eQ==,,0,,openstreetmap
Steak Chef Restaurant,Corniche St - Al Bateen - W45 - Abu Dhabi - United Arab Emirates,Abu Dhabi,24.4657716,54.3313864,+971557223991,https://steakchef.ae,4.8,0,,"google_places, openstreetmap"
Zuma Abu Dhabi,"Island, global market - جزيرة المارية - المارية 1 - أبو ظبي - United Arab Emirates",Abu Dhabi,24.500519,54.387861099999995,,,4.4,0,,"google_places, openstreetmap"
