country,city,nombre_restaurants,note_moyenne,total_avis
BAHRAIN,A'ali,60,,0
BAHRAIN,Adliya,1,,0
BAHRAIN,Amwaj Islands,16,,0
BAHRAIN,Arad,13,,0
BAHRAIN,Barbar,51,,0
BAHRAIN,Budaiya,3,,0
BAHRAIN,Busaiteen,2,,0
BAHRAIN,Diplomatic Area,60,,0
BAHRAIN,Galali,2,,0
BAHRAIN,Hamad Town,1,,0
BAHRAIN,Hamala,12,,0
BAHRAIN,Hidd,13,,0
BAHRAIN,Isa Town,57,,0
BAHRAIN,Jannusan,9,,0
BAHRAIN,Juffair,57,,0
BAHRAIN,Karbabad,2,,0
BAHRAIN,Manama,47,,0
BAHRAIN,Muharraq,20,,0
BAHRAIN,Riffa,17,,0
BAHRAIN,Saar,12,,0
BAHRAIN,Sanabis,3,,0
BAHRAIN,Seef,48,,0
BAHRAIN,Sitra,23,,0
BAHRAIN,Tubli,1,,0
BAHRAIN,Zallaq,11,,0
Bahrain,Muharraq,307,,0
Bahrain,Sanabis,20,4.5,0
Bahrain,Seef,20,4.66,0
Bahrain,Sitra,51,4.37,0
Bahrain,Zallaq,20,4.35,0
KUWAIT,Kuwait City,38,,0
Kuwait,Ahmadi,200,,0
Kuwait,Fahaheel,32,,0
Kuwait,Farwaniya,155,,0
Kuwait,Hawalli,335,,0
Kuwait,Jahra,98,,0
Kuwait,Kuwait City,19,4.59,0
Kuwait,Mangaf,26,,0
Kuwait,Mubarak Al Kabeer,107,,0
Kuwait,Sabah Al Salem,14,,0
Kuwait,Salmiya,167,4.5,0
Kuwait,Salwa,19,4.49,0
Kuwait,Sharq,20,4.54,0
Kuwait,Shuwaikh,21,4.64,0
MOROCCO,A'Ali,20,4.4,0
MOROCCO,Abu Dhabi,19,4.59,0
MOROCCO,Abu Halifa,20,4.26,0
MOROCCO,Agadir,237,4.61,0
MOROCCO,Ahmadi,15,4.34,0
MOROCCO,Ait Melloul,3,,0
MOROCCO,Al Ain,20,4.58,0
MOROCCO,Al Daayen,19,4.59,0
MOROCCO,Al Hoceima,15,,0
MOROCCO,Al Hoceïma,9,,0
MOROCCO,Al Khor,19,4.28,0
MOROCCO,Al Rayyan,20,4.3,0
MOROCCO,Al Ruwais,20,4.39,0
MOROCCO,Al Shahaniya,18,4.49,0
MOROCCO,Al Wakrah,19,4.41,0
MOROCCO,Al Wukair,18,4.52,0
MOROCCO,Amwaj Islands,20,4.37,0
MOROCCO,Azilal,18,,0
MOROCCO,Azrou,9,,0
MOROCCO,Aït Melloul,17,,0
MOROCCO,Beni Mellal,34,4.24,0
MOROCCO,Benslimane,7,,0
MOROCCO,Berkane,19,,0
MOROCCO,Berrechid,23,,0
MOROCCO,Bneid Al Gar,20,4.46,0
MOROCCO,Boujdour,11,,0
MOROCCO,Budaiya,20,4.56,0
MOROCCO,Béni Mellal,59,,0
MOROCCO,Ca,1,,0
MOROCCO,Casablanca,916,,0
MOROCCO,Chefchaouen,30,,0
MOROCCO,Chichaoua,3,,0
MOROCCO,Chtouka Ait Baha,59,,0
MOROCCO,Dakhla,91,,0
MOROCCO,Dasman,18,4.53,0
MOROCCO,Diraz,20,4.5,0
MOROCCO,Driouch,10,,0
MOROCCO,Dukhan,6,4.0,0
MOROCCO,El Hajeb,15,,0
MOROCCO,El Jadida,189,4.16,0
MOROCCO,El Kelaa des Sraghna,59,,0
MOROCCO,El Kelâa des Sraghna,3,,0
MOROCCO,Errachidia,55,,0
MOROCCO,Es-Smara,61,,0
MOROCCO,Essaouira,65,4.69,0
MOROCCO,Fahaheel,18,4.49,0
MOROCCO,Farwaniya,19,4.36,0
MOROCCO,Fes,20,4.69,0
MOROCCO,Fez,42,,0
MOROCCO,Figuig,9,,0
MOROCCO,Fintas,17,4.51,0
MOROCCO,Fnideq,13,,0
MOROCCO,Fès,1634,,0
MOROCCO,Guelmim,16,,0
MOROCCO,Hamad Town,17,4.15,0
MOROCCO,Hawalli,19,4.33,0
MOROCCO,Ifrane,42,,0
MOROCCO,Inezgane,9,,0
MOROCCO,Isa Town,20,4.41,0
MOROCCO,Jabriya,19,4.58,0
MOROCCO,Jahra,19,4.47,0
MOROCCO,Jeddah,20,4.55,0
MOROCCO,Jidhafs,18,4.38,0
MOROCCO,Kalba,20,4.31,0
MOROCCO,Kenitra,42,4.23,0
MOROCCO,Khaitan,19,4.31,0
MOROCCO,Khemisset,8,,0
MOROCCO,Khenifra,2,,0
MOROCCO,Khouribga,22,3.93,0
MOROCCO,Khénifra,4,,0
MOROCCO,Ksar El Kebir,81,,0
MOROCCO,Kénitra,109,,0
MOROCCO,Laayoune,8,,0
MOROCCO,Larache,65,4.2,0
MOROCCO,Laâyoune,15,,0
MOROCCO,Lusail,19,4.63,0
MOROCCO,M'diq,106,,0
MOROCCO,Madinat Ash Shamal,19,4.64,0
MOROCCO,Madinat Zayed,19,4.51,0
MOROCCO,Mahboula,19,4.43,0
MOROCCO,Manama,20,4.54,0
MOROCCO,Mangaf,20,4.09,0
MOROCCO,Marrakech,598,4.58,0
MOROCCO,Meknes,52,4.42,0
MOROCCO,Meknès,202,,0
MOROCCO,Mesaieed,15,4.35,0
MOROCCO,Midelt,31,,0
MOROCCO,Mishref,17,4.25,0
MOROCCO,Mohammedia,47,4.16,0
MOROCCO,Mohammédia,44,,0
MOROCCO,Muharraq,19,4.3,0
MOROCCO,Nador,81,4.15,0
MOROCCO,Old Airport,19,4.27,0
MOROCCO,Ouarzazate,84,,0
MOROCCO,Ouezzane,16,,0
MOROCCO,Oujda,203,4.22,0
MOROCCO,Rabat,656,4.5,0
MOROCCO,Riffa,20,4.38,0
MOROCCO,Rissani,41,,0
MOROCCO,Riyadh,19,4.44,0
MOROCCO,Saar,19,4.47,0
MOROCCO,Sabah Al Salem,17,4.49,0
MOROCCO,Safi,83,4.14,0
MOROCCO,Saidia,11,,0
MOROCCO,Sale,60,,0
MOROCCO,Salé,95,,0
MOROCCO,Saïdia,13,,0
MOROCCO,Sefrou,10,,0
MOROCCO,Settat,24,,0
MOROCCO,Sidi Ifni,25,,0
MOROCCO,Sidi Kacem,37,,0
MOROCCO,Sidi Slimane,9,,0
MOROCCO,Skhirat,14,,0
MOROCCO,Tan-Tan,60,,0
MOROCCO,Tanger,450,,0
MOROCCO,Tangier,34,,0
MOROCCO,Taounate,26,,0
MOROCCO,Taourirt,5,,0
MOROCCO,Tarfaya,7,,0
MOROCCO,Taroudant,49,,0
MOROCCO,Taza,78,,0
MOROCCO,Temara,16,,0
MOROCCO,Tetouan,23,,0
MOROCCO,Tinghir,53,,0
MOROCCO,Tiznit,24,,0
MOROCCO,Témara,88,,0
MOROCCO,Zagora,72,,0
MOROCCO,city,1,,0
QATAR,Abu Samra,5,,0
QATAR,Ain Khaled,53,,0
QATAR,Al Daayen,14,,0
QATAR,Al Gharrafa,60,,0
QATAR,Al Ghuwariyah,60,,0
QATAR,Al Kharaitiyat,60,,0
QATAR,Al Khor,14,,0
QATAR,Al Rayyan,20,,0
QATAR,Al Ruwais,1,,0
QATAR,Al Sadd,59,,0
QATAR,Al Shahaniya,59,,0
QATAR,Al Thumama,59,,0
QATAR,Al Wakrah,19,,0
QATAR,Al Wukair,2,,0
QATAR,Bin Mahmoud,56,,0
QATAR,Doha,44,,0
QATAR,Education City,59,,0
QATAR,Katara,17,,0
QATAR,Lusail,52,,0
QATAR,Madinat ash Shamal,57,,0
QATAR,Mesaieed,3,,0
QATAR,Msheireb Downtown,60,,0
QATAR,Muaither,2,,0
QATAR,Old Airport,59,,0
QATAR,Rawdat Al Hamama,12,,0
QATAR,The Pearl Qatar,59,,0
QATAR,Umm Salal,1,,0
QATAR,West Bay,60,,0
Qatar,Al Daayen,26,,0
Qatar,Al Khor,16,,0
Qatar,Al Rayyan,201,,0
Qatar,Al Shamal,1,,0
Qatar,Al Wakrah,53,,0
Qatar,Doha,618,4.62,0
Qatar,The Pearl Qatar,19,4.56,0
Qatar,Umm Salal,29,4.57,0
SAUDI ARABIA,Abha,17,,0
SAUDI ARABIA,Afif,1,,0
SAUDI ARABIA,Al Ahsa,21,,0
SAUDI ARABIA,Al Bahah,6,,0
SAUDI ARABIA,Al Bukayriyah,2,,0
SAUDI ARABIA,Al Dawadmi,2,,0
SAUDI ARABIA,Al Hofuf,16,,0
SAUDI ARABIA,Al Kharj,14,,0
SAUDI ARABIA,Al Lith,60,,0
SAUDI ARABIA,Al Majmaah,6,,0
SAUDI ARABIA,Al Mubarraz,60,,0
SAUDI ARABIA,Al Namas,1,,0
SAUDI ARABIA,Al Qatif,6,,0
SAUDI ARABIA,Al Qunfudhah,2,,0
SAUDI ARABIA,Al Quwayiyah,1,,0
SAUDI ARABIA,Al Rass,38,,0
SAUDI ARABIA,Al Ula,17,,0
SAUDI ARABIA,Al Wajh,1,,0
SAUDI ARABIA,Arar,3,,0
SAUDI ARABIA,Badr Hunayn,14,,0
SAUDI ARABIA,Bisha,17,,0
SAUDI ARABIA,Buraydah,45,,0
SAUDI ARABIA,Dammam,29,,0
SAUDI ARABIA,Dhahran,26,,0
SAUDI ARABIA,Diriyah,18,,0
SAUDI ARABIA,Hail,44,,0
SAUDI ARABIA,Haql,2,,0
SAUDI ARABIA,Hotat Bani Tamim,49,,0
SAUDI ARABIA,Jazan,14,,0
SAUDI ARABIA,Jeddah,40,,0
SAUDI ARABIA,Jubail,26,,0
SAUDI ARABIA,Khafji,5,,0
SAUDI ARABIA,Khamis Mushait,13,,0
SAUDI ARABIA,Khobar,35,,0
SAUDI ARABIA,Mecca,31,,0
SAUDI ARABIA,Medina,60,,0
SAUDI ARABIA,Muhayil,2,,0
SAUDI ARABIA,Najran,2,,0
SAUDI ARABIA,Qurayyat,5,,0
SAUDI ARABIA,Rabigh,6,,0
SAUDI ARABIA,Ras Tanura,54,,0
SAUDI ARABIA,Riyadh,47,,0
SAUDI ARABIA,Rumah,57,,0
SAUDI ARABIA,Sabya,3,,0
SAUDI ARABIA,Safwa,4,,0
SAUDI ARABIA,Saihat,5,,0
SAUDI ARABIA,Sakaka,7,,0
SAUDI ARABIA,Sharurah,1,,0
SAUDI ARABIA,Tabuk,1,,0
SAUDI ARABIA,Taif,18,,0
SAUDI ARABIA,Tarout,4,,0
SAUDI ARABIA,Turaif,1,,0
SAUDI ARABIA,Unaizah,5,,0
SAUDI ARABIA,Wadi ad-Dawasir,60,,0
SAUDI ARABIA,Yanbu,19,,0
Saudi Arabia,Abha,6,,0
Saudi Arabia,Al Ahsa,501,,0
Saudi Arabia,Arar,7,,0
Saudi Arabia,Hail,30,,0
Saudi Arabia,Jazan,73,,0
Saudi Arabia,Mecca,154,,0
Saudi Arabia,Medina,292,,0
Saudi Arabia,Najran,49,,0
Saudi Arabia,Riyadh,760,,0
Saudi Arabia,Sakaka,37,,0
Saudi Arabia,Tabuk,38,,0
Saudi Arabia,Yanbu,111,,0
UAE,(1,59,,80055
UAE,(2,17,,43134
UAE,(3,5,,17631
UAE,(4,1,,4580
UAE,(5,2,,10380
UAE,006 reviews)Dubai,1,,2006
UAE,007 reviews)New York City,1,,1007
UAE,014 reviews)Dubai,1,,3014
UAE,017 reviews)Dubai,1,,2017
UAE,018 reviews)Dhaka City,1,,1018
UAE,025 reviews)Taormina,1,,2025
UAE,026 reviews)Hvar,1,,1026
UAE,030 reviews)New York City,1,,4030
